time,open,high,low,close,HV
2022-04-23T08:00:00+08:00,2963.42,2978.66,2917,2933.34,66.24718934415219
2022-04-24T08:00:00+08:00,2933.34,2967.2,2912.44,2922.49,65.98368943280548
2022-04-25T08:00:00+08:00,2920.97,3025.99,2798.1,3005.7,66.27772748551448
2022-04-26T08:00:00+08:00,3008.96,3036.92,2762.8,2811.08,66.63186477353233
2022-04-27T08:00:00+08:00,2810.63,2920.23,2795.39,2890.68,66.9713528196564
2022-04-28T08:00:00+08:00,2890.68,2981.07,2855.36,2937.5,65.34980125403811
2022-04-29T08:00:00+08:00,2937.5,2946.84,2775.74,2818.05,60.30711051655324
2022-04-30T08:00:00+08:00,2818.18,2841.87,2716.76,2728.08,60.635755865973714
2022-05-01T08:00:00+08:00,2728.08,2847.66,2718.2,2826.82,61.27667192173772
2022-05-02T08:00:00+08:00,2826.79,2882.73,2778.77,2856.35,60.54206801097962
2022-05-03T08:00:00+08:00,2858.08,2862.02,2754.08,2780.17,57.77823038421134
2022-05-04T08:00:00+08:00,2780.74,2967.49,2771,2939.83,59.202963114059834
2022-05-05T08:00:00+08:00,2939.71,2953.84,2688,2747.44,60.54061102061585
2022-05-06T08:00:00+08:00,2747.44,2756.76,2630.3,2693.1,60.48878093170691
2022-05-07T08:00:00+08:00,2693.18,2701.76,2585.82,2635.9,60.20576827671091
2022-05-08T08:00:00+08:00,2634.57,2640.03,2485,2522.67,59.498633095813325
2022-05-09T08:00:00+08:00,2520.25,2528.99,2223.12,2232.06,65.66631875002788
2022-05-10T08:00:00+08:00,2230.99,2456.66,2198.78,2342.12,66.67338821289054
2022-05-11T08:00:00+08:00,2340.97,2450,1997.73,2075.77,72.74936493320844
2022-05-12T08:00:00+08:00,2082.43,2182.58,1700,1950.45,74.04615039098985
2022-05-13T08:00:00+08:00,1950.99,2145.21,1936.34,2007.45,74.04102515145448
2022-05-14T08:00:00+08:00,2006.65,2065.95,1947.47,2054.23,74.24973198002706
2022-05-15T08:00:00+08:00,2053.91,2165.49,1998.13,2143.09,73.55863773137817
2022-05-16T08:00:00+08:00,2143.73,2143.73,1976.7,2020.84,74.59628565758663
2022-05-17T08:00:00+08:00,2021.27,2120.94,2006,2089.36,74.23929426256247
2022-05-18T08:00:00+08:00,2089.57,2108.09,1906.73,1911.22,76.9499915012505
2022-05-19T08:00:00+08:00,1912.77,2037.78,1901.17,2017.85,78.16732465210937
2022-05-20T08:00:00+08:00,2018.14,2062.65,1920.93,1957.09,78.26597654887988
2022-05-21T08:00:00+08:00,1956.99,1988.23,1935.26,1973.24,77.93876152674484
2022-05-22T08:00:00+08:00,1974.05,2053.71,1964.06,2040.72,78.25114301182771
2022-05-23T08:00:00+08:00,2039.93,2085,1956.04,1971.35,78.16076550941986
2022-05-24T08:00:00+08:00,1972.87,1991.58,1910.8,1978.13,78.1956158845473
2022-05-25T08:00:00+08:00,1976.38,2019.63,1932.03,1941.5,78.07141687363236
2022-05-26T08:00:00+08:00,1941.11,1964.06,1735,1791.38,78.83321590663653
2022-05-27T08:00:00+08:00,1789.97,1819.49,1700.81,1722.9,78.9644192218723
2022-05-28T08:00:00+08:00,1728.25,1806.82,1719.97,1790.98,79.54293435602057
2022-05-29T08:00:00+08:00,1790.98,1825,1761.71,1811.84,79.71608575550061
2022-05-30T08:00:00+08:00,1811.57,2011.54,1801.67,1996.74,83.75682567074526
2022-05-31T08:00:00+08:00,1996.82,2015.24,1924.04,1940.55,82.52429685241093
2022-06-01T08:00:00+08:00,1940.91,1970.79,1759.79,1817.05,83.64355864585016
2022-06-02T08:00:00+08:00,1816.03,1851.7,1780.61,1832.68,83.38774375757409
2022-06-03T08:00:00+08:00,1833.5,1842.87,1735,1773.9,83.5059556497477
2022-06-04T08:00:00+08:00,1774.1,1814.02,1747.07,1803.2,83.59367992231061
2022-06-05T08:00:00+08:00,1804.26,1828.88,1773.67,1804.98,82.22431944214975
2022-06-06T08:00:00+08:00,1804,1917.63,1804,1859.06,82.48384237414245
2022-06-07T08:00:00+08:00,1858.9,1874.03,1725.21,1812.24,82.5787278464897
2022-06-08T08:00:00+08:00,1812.87,1837.9,1764.91,1790.41,82.23739937912754
2022-06-09T08:00:00+08:00,1791.27,1831.35,1776,1787.13,82.23715095266661
2022-06-10T08:00:00+08:00,1785.89,1803.14,1654,1660.55,82.30024746097864
2022-06-11T08:00:00+08:00,1660.71,1680.33,1500,1530.3,83.8799880520686
2022-06-12T08:00:00+08:00,1532.19,1543.02,1422.67,1432.9,84.31419606100246
2022-06-13T08:00:00+08:00,1433.85,1453.12,1164.35,1208.7,92.58692269240021
2022-06-14T08:00:00+08:00,1204.6,1266.25,1075,1205.76,92.48684968298315
2022-06-15T08:00:00+08:00,1205.73,1246.3,1013,1237.23,92.88574800163174
2022-06-16T08:00:00+08:00,1235.99,1255.55,1050.63,1067.6,98.35326054889364
2022-06-17T08:00:00+08:00,1067.78,1115.88,1050,1084.42,98.19097477028083
2022-06-18T08:00:00+08:00,1085.83,1096.43,880,996.28,99.23014291967263
2022-06-19T08:00:00+08:00,994.63,1158.04,935.49,1127.33,105.15443621893002
2022-06-20T08:00:00+08:00,1127.77,1169.5,1050.89,1127.51,105.17708542619987
2022-06-21T08:00:00+08:00,1127.11,1193,1108.76,1124.54,105.20679381594455
2022-06-22T08:00:00+08:00,1125.21,1128.46,1041.45,1048.32,106.02025479717419
2022-06-23T08:00:00+08:00,1048.7,1153.48,1044.25,1143.97,109.01729431746568
2022-06-24T08:00:00+08:00,1144.11,1244.27,1131.49,1224.72,110.42885972845318
2022-06-25T08:00:00+08:00,1225.65,1255.79,1178.96,1241.83,109.88240154031787
2022-06-26T08:00:00+08:00,1241.4,1281.43,1193.39,1197.95,109.52370810853769
2022-06-27T08:00:00+08:00,1197.58,1237.91,1172.03,1190.21,109.27717503011128
2022-06-28T08:00:00+08:00,1191.1,1236.88,1134.71,1142.52,109.2681440075496
2022-06-29T08:00:00+08:00,1141.98,1154.28,1086.52,1098.46,109.34772141240838
2022-06-30T08:00:00+08:00,1099.28,1105.05,996.12,1071.13,108.64086513016424
2022-07-01T08:00:00+08:00,1070.1,1115.22,1032.63,1058.29,108.44548137977141
2022-07-02T08:00:00+08:00,1058.83,1077.19,1026.52,1065.56,108.56272561261146
2022-07-03T08:00:00+08:00,1065.62,1086.37,1039.16,1073.25,107.24888601191572
2022-07-04T08:00:00+08:00,1073.68,1159.07,1044.17,1149.57,108.49214540237325
2022-07-05T08:00:00+08:00,1150.12,1175,1075,1132.34,108.48378501832516
2022-07-06T08:00:00+08:00,1131.94,1203,1110.55,1186.01,109.47861803607374
2022-07-07T08:00:00+08:00,1186.01,1253.64,1162.94,1237.64,110.05122994604878
2022-07-08T08:00:00+08:00,1237.74,1275.04,1192.27,1213.61,106.58839503320999
2022-07-09T08:00:00+08:00,1212.94,1234.43,1203.81,1216.49,105.6495787351562
2022-07-10T08:00:00+08:00,1216.84,1218.33,1152.24,1166.53,102.3746859471367
2022-07-11T08:00:00+08:00,1166.35,1170.52,1091.1,1095.64,102.38796951671318
2022-07-12T08:00:00+08:00,1095.75,1097.24,1032.93,1035.59,102.56287796022777
2022-07-13T08:00:00+08:00,1037.83,1118.73,1005.27,1115.01,104.32952912385453
2022-07-14T08:00:00+08:00,1112.58,1212.64,1068.04,1192.47,105.2620303402593
2022-07-15T08:00:00+08:00,1191.54,1287.79,1180.81,1231.62,105.0405984631342
2022-07-16T08:00:00+08:00,1231.1,1426.78,1192.01,1356.99,107.69077004897012
2022-07-17T08:00:00+08:00,1356.79,1386.1,1316.61,1338.69,105.76257364739415
2022-07-18T08:00:00+08:00,1339.14,1597.77,1336.6,1581.15,112.96145435614747
2022-07-19T08:00:00+08:00,1581.15,1631.72,1493.15,1542.99,112.8837151677765
2022-07-20T08:00:00+08:00,1544.5,1621.03,1480.57,1522.15,112.86661889349053
2022-07-21T08:00:00+08:00,1521.38,1605.28,1464,1576.39,112.89551331224195
2022-07-22T08:00:00+08:00,1574.81,1646.47,1517,1535.47,112.77847314863713
2022-07-23T08:00:00+08:00,1536.16,1597.19,1488.18,1549.51,112.81022488401604
2022-07-24T08:00:00+08:00,1549.71,1663.65,1546.5,1598.94,113.0802559369725
2022-07-25T08:00:00+08:00,1599.39,1608.32,1434.96,1440.56,114.21518588080508
2022-07-26T08:00:00+08:00,1442.19,1454.91,1356,1449.84,113.89983226031944
2022-07-27T08:00:00+08:00,1450.82,1643.47,1421.34,1637.6,117.49905875872697
2022-07-28T08:00:00+08:00,1638.58,1785.52,1594.8,1725.56,118.19521225717308
2022-07-29T08:00:00+08:00,1727,1766.14,1657.51,1723.62,115.65569339752766
2022-07-30T08:00:00+08:00,1722.81,1744.46,1672.58,1697.49,115.51903874701483
2022-07-31T08:00:00+08:00,1698.53,1755.01,1667,1680.11,114.45514386243333
2022-08-01T08:00:00+08:00,1679.38,1705.48,1605.13,1631.7,114.6301098457576
2022-08-02T08:00:00+08:00,1631.67,1678.73,1560,1631.24,114.37645406846035
2022-08-03T08:00:00+08:00,1631.8,1686.51,1590.39,1619.05,114.29974062404928
2022-08-04T08:00:00+08:00,1618.2,1662.96,1581.7,1606.86,114.30619276825152
2022-08-05T08:00:00+08:00,1609.55,1742.39,1606.92,1736.95,115.71771780938313
2022-08-06T08:00:00+08:00,1736.09,1750.86,1685.9,1691.58,115.73026166304548
2022-08-07T08:00:00+08:00,1690.24,1730.7,1669.98,1700.97,115.70900406892044
2022-08-08T08:00:00+08:00,1701.26,1818.84,1694.18,1778.43,116.23961277969754
2022-08-09T08:00:00+08:00,1778.18,1790.77,1669.65,1704.02,115.29885240993634
2022-08-10T08:00:00+08:00,1703.75,1885,1656.03,1854.7,115.27306604039535
2022-08-11T08:00:00+08:00,1855.1,1943.3,1852.1,1883,114.01998610897101
2022-08-12T08:00:00+08:00,1883.3,1965,1853.2,1960.4,105.71903834936215
2022-08-13T08:00:00+08:00,1959.4,2021,1947.5,1984.3,105.69106367443004
2022-08-14T08:00:00+08:00,1984.3,2031.56,1907.1,1936.8,105.89569054227945
2022-08-15T08:00:00+08:00,1936.4,2012.8,1873,1900.9,98.886587183218
2022-08-16T08:00:00+08:00,1897.9,1915.3,1852.8,1879.4,99.00715893142322
2022-08-17T08:00:00+08:00,1877.8,1957.3,1819.5,1835,96.5836242400132
2022-08-18T08:00:00+08:00,1834.1,1881.1,1823,1847.1,92.37437663618633
2022-08-19T08:00:00+08:00,1847,1847.2,1603.7,1609,99.04838213512674
2022-08-20T08:00:00+08:00,1608.6,1655.1,1524,1576.2,99.24004435745586
2022-08-21T08:00:00+08:00,1577.3,1645.6,1562.2,1617.5,97.54232419949699
2022-08-22T08:00:00+08:00,1618.5,1628.6,1529.4,1625.4,95.48698955640651
2022-08-23T08:00:00+08:00,1625,1673.8,1563.3,1665.4,94.33991039634884
2022-08-24T08:00:00+08:00,1665.1,1693.2,1605.3,1657.2,94.34593630819035
2022-08-25T08:00:00+08:00,1657.2,1721.3,1654.6,1697,93.90496497998193
2022-08-26T08:00:00+08:00,1695.3,1705.8,1487.9,1508.8,98.60054963044092
2022-08-27T08:00:00+08:00,1505.4,1518.8,1447.2,1491.5,98.04811838049473
2022-08-28T08:00:00+08:00,1490.8,1511.3,1424.5,1425.7,98.21550771750952
2022-08-29T08:00:00+08:00,1427.1,1560,1422.3,1553.9,99.93639137909392
2022-08-30T08:00:00+08:00,1552.2,1606,1472.2,1523.3,100.04170608941634
2022-08-31T08:00:00+08:00,1526.2,1619,1525.7,1554.2,100.10030800911063
2022-09-01T08:00:00+08:00,1554.9,1599,1512.4,1585.6,100.15633795990408
2022-09-02T08:00:00+08:00,1584.6,1649.1,1546.3,1575.8,98.99560198722375
2022-09-03T08:00:00+08:00,1575.2,1582.1,1534.8,1557.9,98.95367493920696
2022-09-04T08:00:00+08:00,1557,1582.6,1543.5,1580,98.45424795114421
2022-09-05T08:00:00+08:00,1580.6,1630.6,1557.4,1617.5,98.11738821075647
2022-09-06T08:00:00+08:00,1618.7,1687,1553.6,1557.4,98.4907248486336
